x,y,theta,counter,x_d,y_d,theta_d,v,w,mean_v,state_cost,min_Traj_cost,t_mppi
-3.18891854575734,-7.456215942098921,-4.609258035576867,0,4.0,4.0,57.891215576507854,1.42440927028656,0.011189186945557594,0.7765894532203674,493.0114788214852,1966.413818359375,0.008256673812866211
-3.18891854575734,-7.456215942098921,-4.609258035576867,0,4.0,4.0,57.891215576507854,1.4213227033615112,0.055776722729206085,0.7690806984901428,493.0114788214852,1958.6688232421875,0.007919549942016602
-3.1174701672200023,-7.461962661213857,-4.593516629638142,0,4.0,4.0,58.1611932205387,1.4336661100387573,-0.02923581749200821,0.7737787961959839,491.07632979807033,1957.4095458984375,0.008481502532958984
-3.0450665132760517,-7.467967430044693,-4.474471409912953,0,4.0,4.0,58.43652703335226,1.4340074062347412,0.04515419527888298,0.7649089097976685,489.0364852605238,1914.8514404296875,0.008264541625976562
-3.020756415510219,-7.469872757218532,-4.506317990564488,0,4.0,4.0,58.52902769070641,1.433288812637329,0.08523109555244446,0.7565864324569702,488.434010793363,1907.214599609375,0.006728172302246094
-2.9720243151062813,-7.473639898884344,-4.448575022480811,0,4.0,4.0,58.714797675434866,1.434220790863037,0.12442989647388458,0.7485742568969727,487.0929951577416,1897.447998046875,0.006828784942626953
-2.9233409228163647,-7.477474938330857,-4.34701351586439,0,4.0,4.0,58.90115151866944,1.4345759153366089,0.15935304760932922,0.7406491637229919,485.7198107955445,1888.2686767578125,0.006981849670410156
-2.874973245916277,-7.481578951205099,-4.102020226580354,0,4.0,4.0,59.08754612598375,1.4346530437469482,0.19176830351352692,0.7327945232391357,484.21918233842075,1878.6312255859375,0.006650686264038086
-2.8263595514908255,-7.485765595571187,-3.715582068592892,0,4.0,4.0,59.27562369138588,1.4345353841781616,0.22169533371925354,0.7249306440353394,482.56566082585437,1901.7364501953125,0.006776571273803711
-2.753264826480995,-7.491745104010065,-2.955823805550141,0,4.0,4.0,59.55885367984824,1.4178671836853027,0.13965417444705963,0.7142813801765442,479.88110054675684,1893.45703125,0.010695695877075195
-2.753264826480995,-7.491745104010065,-2.955823805550141,0,4.0,4.0,59.55885367984824,1.4135798215866089,0.18850529193878174,0.7068101167678833,479.88110054675684,1872.4261474609375,0.007342100143432617
-2.6564538788015817,-7.498078714513642,-1.9875065397927545,0,4.0,4.0,59.93264333028504,1.413651943206787,0.22916992008686066,0.6991348266601562,476.3235357169962,1851.1502685546875,0.0068950653076171875
-2.6083311923714407,-7.500635205618525,-1.5165144269682709,0,4.0,4.0,60.118076902815105,1.4142576456069946,0.23844948410987854,0.7185723781585693,474.5522566310493,1852.9041748046875,0.006238222122192383
-2.6083311923714407,-7.500635205618525,-1.5165144269682709,0,4.0,4.0,60.118076902815105,1.3309801816940308,0.19931621849536896,0.7229387760162354,474.5522566310493,1839.6781005859375,0.006172895431518555
-2.5362136972491505,-7.5040601166562,-0.5889365248888593,0,4.0,4.0,60.39624238499448,1.2898567914962769,0.21782106161117554,0.723010241985321,471.6516422078085,1808.977783203125,0.03173947334289551
